年份,分组,季度,加权回报率,月份
2016,4,8,0.05965186998610039,5-8
2016,4,12,0.11674531731670523,9-12
2017,0,4,0.0072604696125757595,1-4
2017,0,8,-0.020618481969436497,5-8
2017,0,12,0.07663428881968892,9-12
2017,1,4,0.025881741637121314,1-4
2017,1,8,0.050486785440310156,5-8
2017,1,12,0.07579373968941838,9-12
2017,2,4,0.0064506983971202025,1-4
2017,2,8,0.019065966017873803,5-8
2017,2,12,0.05980741883186469,9-12
2017,3,4,-0.0037551105460806866,1-4
2017,3,8,-0.03822245947688985,5-8
2017,3,12,0.028360754448761405,9-12
2017,4,4,0.043709877018922816,1-4
2017,4,8,-0.03048136984930805,5-8
2017,4,12,0.055500826688967164,9-12
2018,0,4,-0.014358626005351205,1-4
2018,0,8,-0.1421110577519915,5-8
2018,0,12,-0.07954521668422154,9-12
2018,1,4,0.018129020472932966,1-4
2018,1,8,-0.11280931975607389,5-8
2018,1,12,-0.14527972799203648,9-12
2018,2,4,0.026098075839454005,1-4
2018,2,8,-0.13139199167159965,5-8
2018,2,12,-0.11545531998152236,9-12
2018,3,4,0.021679045253452323,1-4
2018,3,8,-0.11622405257834745,5-8
2018,3,12,-0.10639543640585125,9-12
2018,4,4,0.01348516683540879,1-4
2018,4,8,-0.06366139708157925,5-8
2018,4,12,-0.12731833020210115,9-12
2019,0,4,0.40870632806122464,1-4
2019,0,8,-0.06616942924259439,5-8
2019,0,12,0.016893425225355863,9-12
2019,1,4,0.3752529142978156,1-4
2019,1,8,-0.02992875062261835,5-8
2019,1,12,0.046457564039222854,9-12
2019,2,4,0.3718056458922345,1-4
2019,2,8,-0.036853351162417725,5-8
2019,2,12,0.051780813391109515,9-12
2019,3,4,0.3455922294056728,1-4
2019,3,8,-0.03588037104991881,5-8
2019,3,12,0.08354979914713767,9-12
2019,4,4,0.32730463718289493,1-4
2019,4,8,-0.007117948156196041,5-8
2019,4,12,0.0876201311794933,9-12
2020,0,4,0.004066474046375612,1-4
2020,0,8,0.37851776967762474,5-8
2020,0,12,-0.012021697030712875,9-12
2020,1,4,-0.02188136930060014,1-4
2020,1,8,0.3502552378435744,5-8
2020,1,12,0.07492068855373346,9-12
2020,2,4,0.039899694570050936,1-4
2020,2,8,0.4559024803554588,5-8
2020,2,12,0.0012576744600281131,9-12
2020,3,4,0.061668686221060254,1-4
2020,3,8,0.4974517610246425,5-8
2020,3,12,0.04422584525949835,9-12
2020,4,4,0.05304238139548678,1-4
2020,4,8,0.4680776869018395,5-8
2020,4,12,0.10275139037746084,9-12
2021,0,4,0.008802930455391822,1-4
2021,0,8,0.26005347162785775,5-8
2021,0,12,0.1512532038798624,9-12
2021,1,4,-0.010912984071822951,1-4
2021,1,8,0.21772682591790327,5-8
2021,1,12,0.12487808395112987,9-12
2021,2,4,-0.040139760676940806,1-4
2021,2,8,0.15492557316309385,5-8
2021,2,12,0.1595658404019782,9-12
2021,3,4,0.02632416132378168,1-4
2021,3,8,0.21367662889292505,5-8
2021,3,12,0.16876105486511306,9-12
2021,4,4,-0.00466307225979945,1-4
2021,4,8,0.16763233137626865,5-8
2021,4,12,0.08605127000814594,9-12
2022,0,4,-0.09650931323538803,1-4
2022,0,8,0.060655591311626456,5-8
2022,0,12,-0.02586297247627145,9-12
2022,1,4,-0.1416786226540525,1-4
2022,1,8,0.09357828244812771,5-8
2022,1,12,-0.03213918340654143,9-12
2022,2,4,-0.14412755697540325,1-4
2022,2,8,0.0879890508302712,5-8
2022,2,12,-0.006321491748425778,9-12
2022,3,4,-0.14471850808959152,1-4
2022,3,8,0.12799066244307822,5-8
2022,3,12,-0.05102820166041244,9-12
2022,4,4,-0.16543521639645198,1-4
2022,4,8,0.13109581432710926,5-8
2022,4,12,-0.008301624417705877,9-12
2023,0,4,0.13869822563470846,1-4
2023,0,8,0.034149483945995485,5-8
2023,0,12,-0.02604964245507224,9-12
2023,1,4,0.11531180155574461,1-4
2023,1,8,-0.01875311604710861,5-8
2023,1,12,-0.05222167195477012,9-12
2023,2,4,0.06329702325458308,1-4
2023,2,8,0.029225049850450713,5-8
2023,2,12,-0.07146309582502197,9-12
2023,3,4,0.08523257694685804,1-4
2023,3,8,-0.011386286987411953,5-8
2023,3,12,-0.044700376456505486,9-12
2023,4,4,0.11304096118184992,1-4
2023,4,8,0.027756826000094215,5-8
2023,4,12,-0.07788414068522287,9-12
