年份,月份,分组,加权回报率
2023,2,3,0.006806439
2023,3,3,-0.000771566
2023,4,3,-0.029078742
2023,1,4,0.068138503
2023,2,4,0.029882111
2023,3,4,0.011803232
2023,4,4,-0.017390791
2008,5,0,0
2008,6,0,0
2008,7,0,0
2008,8,0,0
2008,5,1,0
2008,6,1,0
2008,7,1,0
2008,8,1,0
2008,5,2,0
2008,6,2,0
2008,7,2,0
2008,8,2,0
2008,5,3,0
2008,6,3,0
2008,7,3,0
2008,8,3,0
2008,5,4,0
2008,6,4,0
2008,7,4,0
2008,8,4,0
2013,5,0,0
2013,6,0,0
2013,7,0,0
2013,8,0,0
2013,5,1,0
2013,6,1,0
2013,7,1,0
2013,8,1,0
2013,5,2,0
2013,6,2,0
2013,7,2,0
2013,8,2,0
2013,5,3,0
2013,6,3,0
2013,7,3,0
2013,8,3,0
2013,5,4,0
2013,6,4,0
2013,7,4,0
2013,8,4,0
2014,5,0,0.036882686
2014,6,0,0.04465804
2014,7,0,0.062404932
2014,8,0,0.064788106
2014,5,1,0.034544035
2014,6,1,0.06239581
2014,7,1,0.06296166
2014,8,1,0.063545018
2014,5,2,0.031747427
2014,6,2,0.059270219
2014,7,2,0.037979973
2014,8,2,0.055729752
2014,5,3,0.048455924
2014,6,3,0.063108086
2014,7,3,0.060662677
2014,8,3,0.071294024
2014,5,4,0.023064933
2014,6,4,0.049598579
2014,7,4,0.054737702
2014,8,4,0.054500817
2015,5,0,0.241019173
2015,6,0,-0.099457546
2015,7,0,-0.182070171
2015,8,0,-0.130181635
2015,5,1,0.318660215
2015,6,1,-0.036482816
2015,7,1,-0.155294284
2015,8,1,-0.158015415
2015,5,2,0.287323108
2015,6,2,-0.102386354
2015,7,2,-0.12360114
2015,8,2,-0.143436356
2015,5,3,0.333617899
2015,6,3,-0.10605315
2015,7,3,-0.142514832
2015,8,3,-0.162222854
2015,5,4,0.26331049
2015,6,4,-0.081336383
2015,7,4,-0.094909804
2015,8,4,-0.031911838
2016,5,0,-0.004230751
2016,6,0,0.051941861
2016,7,0,-0.010357887
2016,8,0,0.079812629
2016,5,1,-0.003368919
2016,6,1,0.057741322
2016,7,1,-0.005285797
2016,8,1,0.043619125
2016,5,2,-0.0005514
2016,6,2,0.060651061
2016,7,2,0.01754613
2016,8,2,0.046074642
2016,5,3,0.005848681
2016,6,3,0.074463428
2016,7,3,-0.022924106
2016,8,3,0.044070097
2016,5,4,0.011009598
2016,6,4,0.050775126
2016,7,4,0.010732438
2016,8,4,0.043075364
2017,5,0,-0.055290727
2017,6,0,0.05029184
2017,7,0,0.022275808
2017,8,0,0.05183929
2017,5,1,-0.00892305
2017,6,1,0.069665137
2017,7,1,0.021576133
2017,8,1,0.033682285
2017,5,2,-0.033138644
2017,6,2,0.052345938
2017,7,2,0.021662061
2017,8,2,0.035009296
2017,5,3,-0.044422931
2017,6,3,0.046086858
2017,7,3,-0.000914793
2017,8,3,0.03219257
2017,5,4,-0.03307791
2017,6,4,0.051855109
2017,7,4,-0.009821365
2017,8,4,0.0354077
2018,5,0,-0.004820421
2018,6,0,-0.089120474
2018,7,0,-0.007508526
2018,8,0,-0.060903385
2018,5,1,0.006172944
2018,6,1,-0.075985321
2018,7,1,-0.000732272
2018,8,1,-0.073015777
2018,5,2,0.007496861
2018,6,2,-0.083444747
2018,7,2,-0.01382793
2018,8,2,-0.072292359
2018,5,3,0.015363268
2018,6,3,-0.095912303
2018,7,3,-0.012933011
2018,8,3,-0.067540197
2018,5,4,0.054605395
2018,6,4,-0.08341514
2018,7,4,-0.019779123
2018,8,4,-0.075039137
2019,5,0,-0.066263509
2019,6,0,0.03574404
2019,7,0,-0.000862168
2019,8,0,-0.008782808
2019,5,1,-0.06583784
2019,6,1,0.036463563
2019,7,1,-0.001537948
2019,8,1,0.001253202
2019,5,2,-0.061324025
2019,6,2,0.027483755
2019,7,2,0.0113987
2019,8,2,0.020405544
2019,5,3,-0.046510897
2019,6,3,0.021219306
2019,7,3,-0.002503536
2019,8,3,0.005430599
2019,5,4,-0.035691526
2019,6,4,0.027804426
2019,7,4,0.018394304
2019,8,4,0.040379331
2020,5,0,0.001985335
2020,6,0,0.113752443
2020,7,0,0.162994099
2020,8,0,0.028003789
2020,5,1,0.009554967
2020,6,1,0.102092999
2020,7,1,0.146904101
2020,8,1,0.033875559
2020,5,2,0.0307337
2020,6,2,0.150384504
2020,7,2,0.135811009
2020,8,2,0.016111327
2020,5,3,0.028007555
2020,6,3,0.118858614
2020,7,3,0.189886324
2020,8,3,0.026429322
2020,5,4,0.049123798
2020,6,4,0.123118993
2020,7,4,0.174792756
2020,8,4,0.058755586
2021,5,0,0.074337739
2021,6,0,0.044096547
2021,7,0,0.0787398
2021,8,0,0.079307048
2021,5,1,0.065190895
2021,6,1,0.057857708
2021,7,1,0.02366058
2021,8,1,0.024676456
2021,5,2,0.054842812
2021,6,2,0.029923013
2021,7,2,0.004441833
2021,8,2,0.053347866
2021,5,3,0.05272464
2021,6,3,0.060990501
2021,7,3,-0.00456162
2021,8,3,0.045212503
2021,5,4,0.046066219
2021,6,4,0.05691782
2021,7,4,0.002191428
2021,8,4,0.036253708
2022,5,0,0.076117605
2022,6,0,0.11864126
2022,7,0,-0.00319177
2022,8,0,-0.01921757
2022,5,1,0.089431806
2022,6,1,0.127079858
2022,7,1,-0.003132363
2022,8,1,-0.030901491
2022,5,2,0.083985248
2022,6,2,0.136526665
2022,7,2,0.007899379
2022,8,2,-0.029510021
2022,5,3,0.076348071
2022,6,3,0.146578911
2022,7,3,-0.005406892
2022,8,3,-0.037383798
2022,5,4,0.100765034
2022,6,4,0.117960375
2022,7,4,-0.015544925
2022,8,4,-0.030844445
2023,5,0,-0.017034586
2023,6,0,0.032218319
2023,7,0,0.029179785
2023,8,0,-0.056393039
2023,5,1,-0.025359486
2023,6,1,0.030952845
2023,7,1,-0.001134417
2023,8,1,-0.054197676
2023,5,2,-0.023469296
2023,6,2,0.039473849
2023,7,2,0.02444855
2023,8,2,-0.049027336
2023,5,3,-0.023966181
2023,6,3,0.029767901
2023,7,3,0.013067549
